RBFS-manhattan, RBFS-my
i = 1
0.0049953460693359375,0.004995822906494141
0.006994962692260742,0.006993293762207031
0.004993915557861328,0.004996776580810547
0.0029969215393066406,0.003003358840942383
0.005033731460571289,0.005013465881347656
0.009992361068725586,0.008991479873657227
0.01099085807800293,0.011988401412963867
0.003996610641479492,0.006994485855102539
0.004995584487915039,0.004996538162231445
0.0049953460693359375,0.004995107650756836
i = 2
0.01093435287475586,0.011989831924438477
0.006994962692260742,0.006991863250732422
0.004993915557861328,0.0049970149993896484
0.0019979476928710938,0.0029973983764648438
0.002996683120727539,0.002997159957885742
0.006993293762207031,0.00799250602722168
0.012987613677978516,0.013986825942993164
0.011989355087280273,0.010989904403686523
0.008991479873657227,0.009989738464355469
0.008991479873657227,0.008991241455078125
i = 3
0.009990692138671875,0.009990453720092773
0.01398777961730957,0.014986038208007812
0.006993532180786133,0.00799250602722168
0.002996683120727539,0.005994319915771484
0.004994869232177734,0.004995822906494141
0.007991552352905273,0.007992744445800781
0.005997419357299805,0.00798940658569336
0.004995822906494141,0.004994869232177734
0.0049953460693359375,0.007992267608642578
0.00799250602722168,0.007992267608642578
i = 4
0.01402139663696289,0.013952016830444336
0.008991479873657227,0.009989500045776367
0.007991790771484375,0.007992744445800781
0.017982959747314453,0.01198887825012207
0.015984773635864258,0.01998114585876465
0.011987924575805664,0.011991024017333984
0.0019979476928710938,0.002995729446411133
0.012987136840820312,0.012987613677978516
0.00699305534362793,0.00799250602722168
0.004995107650756836,0.0049953460693359375
i = 5
0.01198887825012207,0.014985799789428711
0.011988401412963867,0.013986825942993164
0.017982959747314453,0.022979259490966797
0.014984846115112305,0.014985799789428711
0.00998997688293457,0.010989665985107422
0.011970996856689453,0.012986183166503906
0.012987613677978516,0.013986825942993164
0.01498556137084961,0.014985799789428711
0.009990692138671875,0.009990215301513672
0.006993293762207031,0.008022546768188477


