Easy, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
0,1,0,17
0,46,470,48
0,42,430,46
0,38,390,45
0,44,450,47
0,41,420,45
0,41,420,46
0,38,390,45
0,41,420,47
0,44,450,48
0,43,440,46
0,42,430,46
0,41,420,46
0,43,440,47
0,37,380,45
0,38,390,45
0,42,430,47
0,43,440,47
0,38,390,45
0,44,450,48
0,42,430,47
0,42,430,47
0,42,430,47
0,38,390,45
Easy, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
0,950,95181,17
0,950,95181,48
0,950,95181,46
0,950,95181,45
0,950,95181,47
0,950,95181,45
0,950,95181,46
0,950,95181,45
0,950,95181,47
0,950,95181,48
0,950,95181,46
0,950,95181,46
0,950,95181,46
0,950,95181,47
0,950,95181,45
0,950,95181,45
0,950,95181,47
0,950,95181,47
0,950,95181,45
0,950,95181,48
0,950,95181,47
0,950,95181,47
0,950,95181,47
0,950,95181,45
Medium, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
0,45,4681,50
0,53,5481,53
0,50,5181,51
0,52,5381,53
0,48,4981,49
0,52,5381,52
0,52,5381,52
0,51,5281,52
0,48,4981,51
0,48,4981,49
0,45,4681,50
0,49,5081,51
0,51,5281,52
0,49,5081,52
0,43,4481,49
0,47,4881,51
0,52,5381,53
0,52,5381,53
0,55,5681,56
0,55,5681,56
0,55,5681,56
Medium, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
0,950,95181,50
0,950,95181,53
0,950,95181,51
0,950,95181,53
0,950,95181,49
0,950,95181,52
0,950,95181,52
0,950,95181,52
0,950,95181,51
0,950,95181,49
0,950,95181,50
0,950,95181,51
0,950,95181,52
0,950,95181,52
0,950,95181,49
0,950,95181,51
0,950,95181,53
0,950,95181,53
0,950,95181,56
0,950,95181,56
0,950,95181,56
Hard, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
0,53,5481,56
0,53,5481,55
0,52,5381,53
0,55,5681,55
0,55,5681,55
0,54,5581,54
0,52,5381,55
0,55,5681,56
0,52,5381,53
0,53,5481,54
0,53,5481,54
0,53,5481,54
0,53,5481,54
0,51,5281,53
0,55,5681,56
0,55,5681,56
0,55,5681,56
Hard, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
0,950,95181,56
0,950,95181,55
0,950,95181,53
0,950,95181,55
0,950,95181,55
0,950,95181,54
0,950,95181,55
0,950,95181,56
0,950,95181,53
0,950,95181,54
0,950,95181,54
0,950,95181,54
0,950,95181,54
0,950,95181,53
0,950,95181,56
0,950,95181,56
0,950,95181,56
Evil, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
0,53,5481,55
0,48,4981,51
0,56,5781,57
0,54,5581,55
0,48,4981,51
0,48,4981,51
0,56,5781,56
0,55,5681,56
0,55,5681,55
0,55,5681,55
0,56,5781,57
0,54,5581,55
0,55,5681,57
0,55,5681,55
0,56,5781,57
Evil, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
0,950,95181,55
0,950,95181,51
0,950,95181,57
0,950,95181,55
0,950,95181,51
0,950,95181,51
0,950,95181,56
0,950,95181,56
0,950,95181,55
0,950,95181,55
0,950,95181,57
0,950,95181,55
0,950,95181,57
0,950,95181,55
0,950,95181,57
Easy, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
1,1,1,17
1,1,20,48
1,1,20,46
1,1,0,45
1,1,0,47
1,1,20,45
1,1,20,46
1,1,1,45
1,1,0,47
1,1,1,48
1,1,20,46
1,1,1,46
1,1,20,46
1,1,0,47
1,1,20,45
1,1,20,45
1,1,0,47
1,1,0,47
1,1,0,45
1,1,0,48
1,1,0,47
1,1,1,47
1,1,0,47
1,1,0,45
Easy, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
1,1,81,17
1,950,95181,48
1,950,95181,46
1,950,95181,45
1,950,95181,47
1,950,95181,45
1,950,95181,46
1,1,81,45
1,950,95181,47
1,1,81,48
1,950,95181,46
1,1,81,46
1,950,95181,46
1,950,95181,47
1,950,95181,45
1,950,95181,45
1,950,95181,47
1,950,95181,47
1,950,95181,45
1,950,95181,48
1,950,95181,47
1,1,81,47
1,950,95181,47
1,950,95181,45
Medium, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
1,1,81,50
1,1,81,53
1,1,281,51
1,1,81,53
1,1,81,49
1,1,281,52
1,1,281,52
1,1,281,52
1,1,281,51
1,1,281,49
1,1,81,50
1,1,81,51
1,1,81,52
1,1,281,52
1,1,281,49
1,1,281,51
1,1,281,53
1,1,81,53
1,1,281,56
1,1,281,56
1,1,281,56
Medium, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
1,950,95181,50
1,950,95181,53
1,950,95181,51
1,950,95181,53
1,950,95181,49
1,950,95181,52
1,950,95181,52
1,950,95181,52
1,950,95181,51
1,950,95181,49
1,1,81,50
1,1,81,51
1,950,95181,52
1,950,95181,52
1,950,95181,49
1,950,95181,51
1,950,95181,53
1,950,95181,53
1,950,95181,56
1,950,95181,56
1,950,95181,56
Hard, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
1,1,281,56
1,1,281,55
1,1,281,53
1,1,281,55
1,1,281,55
1,1,281,54
1,1,81,55
1,1,81,56
1,1,281,53
1,1,81,54
1,1,81,54
1,1,281,54
1,1,81,54
1,1,281,53
1,1,281,56
1,1,281,56
1,1,281,56
Hard, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
1,950,95181,56
1,950,95181,55
1,950,95181,53
1,950,95181,55
1,950,95181,55
1,950,95181,54
1,950,95181,55
1,950,95181,56
1,950,95181,53
1,950,95181,54
1,950,95181,54
1,950,95181,54
1,950,95181,54
1,950,95181,53
1,950,95181,56
1,950,95181,56
1,950,95181,56
Evil, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
1,1,81,55
1,1,281,51
1,1,281,57
1,1,281,55
1,1,281,51
1,1,281,51
1,1,281,56
1,1,281,56
1,1,281,55
1,1,281,55
1,1,281,57
1,1,81,55
1,1,281,57
1,1,81,55
1,1,281,57
Evil, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
1,950,95181,55
1,950,95181,51
1,950,95181,57
1,950,95181,55
1,950,95181,51
1,950,95181,51
1,950,95181,56
1,950,95181,56
1,950,95181,55
1,950,95181,55
1,950,95181,57
1,950,95181,55
1,950,95181,57
1,950,95181,55
1,950,95181,57
Easy, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
2,1,1,17
2,1,20,48
2,1,20,46
2,1,0,45
2,1,0,47
2,1,20,45
2,1,20,46
2,1,1,45
2,1,0,47
2,1,1,48
2,1,20,46
2,1,1,46
2,1,20,46
2,1,0,47
2,1,20,45
2,1,20,45
2,1,0,47
2,1,0,47
2,1,0,45
2,1,0,48
2,1,0,47
2,1,1,47
2,1,0,47
2,1,0,45
Easy, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
2,1,81,17
2,950,95181,48
2,950,95181,46
2,950,95181,45
2,950,95181,47
2,950,95181,45
2,950,95181,46
2,1,81,45
2,950,95181,47
2,1,81,48
2,950,95181,46
2,1,81,46
2,950,95181,46
2,950,95181,47
2,950,95181,45
2,950,95181,45
2,950,95181,47
2,950,95181,47
2,950,95181,45
2,950,95181,48
2,950,95181,47
2,1,81,47
2,950,95181,47
2,950,95181,45
Medium, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
2,1,81,50
2,1,81,53
2,1,281,51
2,1,81,53
2,1,81,49
2,1,281,52
2,1,281,52
2,1,281,52
2,1,281,51
2,1,281,49
2,1,81,50
2,1,81,51
2,1,81,52
2,1,281,52
2,1,281,49
2,1,281,51
2,1,281,53
2,1,81,53
2,1,281,56
2,1,281,56
2,1,281,56
Medium, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
2,950,95181,50
2,950,95181,53
2,950,95181,51
2,950,95181,53
2,950,95181,49
2,950,95181,52
2,950,95181,52
2,950,95181,52
2,950,95181,51
2,950,95181,49
2,1,81,50
2,1,81,51
2,950,95181,52
2,950,95181,52
2,950,95181,49
2,950,95181,51
2,950,95181,53
2,950,95181,53
2,950,95181,56
2,950,95181,56
2,950,95181,56
Hard, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
2,1,281,56
2,1,281,55
2,1,281,53
2,1,281,55
2,1,281,55
2,1,281,54
2,1,81,55
2,1,81,56
2,1,281,53
2,1,81,54
2,1,81,54
2,1,281,54
2,1,81,54
2,1,281,53
2,1,281,56
2,1,281,56
2,1,281,56
Hard, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
2,950,95181,56
2,950,95181,55
2,950,95181,53
2,950,95181,55
2,950,95181,55
2,950,95181,54
2,950,95181,55
2,950,95181,56
2,950,95181,53
2,950,95181,54
2,950,95181,54
2,950,95181,54
2,950,95181,54
2,950,95181,53
2,950,95181,56
2,950,95181,56
2,950,95181,56
Evil, Constant Search,,
Level of inference, # of backtracks, depth, # of empty spaces
2,1,81,55
2,1,281,51
2,1,281,57
2,1,281,55
2,1,281,51
2,1,281,51
2,1,281,56
2,1,281,56
2,1,281,55
2,1,281,55
2,1,281,57
2,1,81,55
2,1,281,57
2,1,81,55
2,1,281,57
Evil, MCV,,
Level of inference, # of backtracks, depth, # of empty spaces
2,950,95181,55
2,950,95181,51
2,950,95181,57
2,950,95181,55
2,950,95181,51
2,950,95181,51
2,950,95181,56
2,950,95181,56
2,950,95181,55
2,950,95181,55
2,950,95181,57
2,950,95181,55
2,950,95181,57
2,950,95181,55
2,950,95181,57
